2d	..----..
oxo	----..----
ozmo	-----..-----
p	.--.
paean	.--..-..--.
pagan	.--..---..--.
pan	.--..--.
pangwe	.--..--.--..--.
paran	.--..-.-..--.
parate	.--..-.-..--.
parette	.--..-.-..--.
pastime	.--..-...-..--.
pate	.--..--.
pean	.--...--.
pecan	.--..-.-..--.
peep	.--....--.
peg	.--..--.
pellan	.--...-...-...--.
pellate	.--...-...-...--.
pennate	.--..-.-..--.
pep	.--...--.
perean	.--...-...--.
perun	.--...-...--.
peruvian	.--...-...-...-...--.
petn	.--..--.
pg	.--.--.
phaseun	.--......-......--.
phip	.--........--.
pian	.--....--.
pidan	.--...-...--.
pig	.--...--.
pileate	.--....-....--.
pinnatulate	.--...-.-..--..-.-...--.
pinnulate	.--...-.-...-.-...--.
pip	.--....--.
pisan	.--.......--.
piute	.--.....--.
pmeg	.--.--.--.
pomate	.--.-----.--.
pomp	.--.-----.--.
pong	.--.----.--.
poop	.--.------.--.
pop	.--.---.--.
porkman	.--.---.-.-.---.--.
portman	.--.---.-.---.--.
postman	.--.---...---.--.
potate	.--.----.--.
potman	.--.------.--.
potong	.--.--------.--.
powe	.--.---.--.
pp	.--..--.
ppp	.--..--..--.
prate	.--..-..--.
praxean	.--..-..--..-..--.
predestinate	.--..-..-......-..-..--.
predestitute	.--..-..-......-..-..--.
preominate	.--..-..-----..-..--.
prorate	.--..-.---.-..--.
protectorate	.--..-.----.-.-.----.-..--.
prp	.--..-..--.
